<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220718;150000;187.1000000
GAZP;60;20220718;160000;187.1000000
GAZP;60;20220718;170000;187.2400000
GAZP;60;20220718;180000;187.0000000
GAZP;60;20220718;190000;186.7000000
GAZP;60;20220719;110000;186.2800000
GAZP;60;20220719;120000;185.0700000
GAZP;60;20220719;130000;185.5400000
GAZP;60;20220719;140000;185.1300000
GAZP;60;20220719;150000;185.3500000
GAZP;60;20220719;160000;185.0400000
GAZP;60;20220719;170000;185.0600000
GAZP;60;20220719;180000;186.9800000
GAZP;60;20220719;190000;189.5100000
GAZP;60;20220720;110000;193.9000000
GAZP;60;20220720;120000;194.2200000
GAZP;60;20220720;130000;193.9100000
GAZP;60;20220720;140000;193.9200000
GAZP;60;20220720;150000;194.3500000
GAZP;60;20220720;160000;193.7500000
GAZP;60;20220720;170000;194.2300000
GAZP;60;20220720;180000;192.9600000
GAZP;60;20220720;190000;193.3000000
GAZP;60;20220721;110000;189.3400000
GAZP;60;20220721;120000;190.3600000
GAZP;60;20220721;130000;192.4500000
GAZP;60;20220721;140000;191.8200000
GAZP;60;20220721;150000;190.7500000
GAZP;60;20220721;160000;190.7200000
GAZP;60;20220721;170000;189.6500000
GAZP;60;20220721;180000;189.5600000
GAZP;60;20220721;190000;189.5900000
GAZP;60;20220722;110000;190.7700000
GAZP;60;20220722;120000;191.3700000
GAZP;60;20220722;130000;190.9700000
GAZP;60;20220722;140000;192.1700000
GAZP;60;20220722;150000;192.6000000
GAZP;60;20220722;160000;192.1000000
GAZP;60;20220722;170000;192.1300000
GAZP;60;20220722;180000;191.9000000
GAZP;60;20220722;190000;192.2500000
GAZP;60;20220725;110000;193.9100000
GAZP;60;20220725;120000;193.7600000
GAZP;60;20220725;130000;193.4100000
GAZP;60;20220725;140000;193.6000000
GAZP;60;20220725;150000;194.0600000
GAZP;60;20220725;160000;194.1800000
GAZP;60;20220725;170000;193.2500000
GAZP;60;20220725;180000;192.5500000
GAZP;60;20220725;190000;192.0000000
GAZP;60;20220726;110000;192.7900000
GAZP;60;20220726;120000;192.7700000
GAZP;60;20220726;130000;193.1600000
GAZP;60;20220726;140000;193.2000000
